,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
1778,McKinley Moore,NYY,RP,Feb '24,Knee bursitis,Activated,03/25/24,04/09/24,04/13/24,Activated
1779,Luis Medina,OAK,SP,03/04/24,Sprained knee,60-Day IL,03/25/24,05/24/24,,No timetable for return
1780,Justin Topa,MIN,RP,03/15/24,Patellar tendinitis (left knee),15-Day IL,03/25/24,04/09/24,,No timetable for return
1781,Miguel Andujar,OAK,OF/INF,03/27/24,Knee surgery (lateral meniscectomy),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
1782,Taylor Clarke,MIL,RP,03/30/24,Knee surgery (torn meniscus),15-Day IL,03/25/24,04/09/24,,Likely out until late May
1783,Jason Delay,PIT,C,03/31/24,Knee inflammation,10-Day IL,04/01/24,04/11/24,,No timetable for return
1784,Geraldo Perdomo,ARI,SS,04/03/24,Torn knee meniscus,10-Day IL,04/04/24,04/14/24,,Expected to miss at least 1 month
1785,Max Kepler,MIN,OF,04/06/24,Knee contusion,10-Day IL,04/07/24,04/22/24,,Rehab assignment (4/18)
1786,Collin Snider,SEA,RP,04/07/24,Knee contusion,15-Day IL,04/08/24,04/23/24,,No timetable for return
1787,Jonathan Hernández,TEX,RP,10/01/23,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
1788,Gregory Santos,SEA,RP,03/11/24,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
1789,Eduardo Rodriguez,ARI,SP,03/19/24,Strained lat,60-Day IL,03/25/24,05/24/24,,No timetable for return
1790,Miguel Andujar,OAK,OF/INF,03/27/24,Knee surgery (lateral meniscectomy),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
1791,Walker Buehler,LAD,SP,08/23/22,Tommy John surgery,15-Day IL,03/17/24,04/07/24,,Rehab assignment (3/31)
1792,Shane Baz,TBR,SP,09/28/22,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
1793,Lucas Gilbreath,COL,RP,03/14/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
1794,Cade Cavalli,WSN,SP,03/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1795,Matt Foster,CHW,RP,Apr '23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1796,Carson Coleman,TEX,RP,Apr '23,Elbow surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
1797,JT Brubaker,NYY,SP,04/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1798,Jeffrey Springs,TBR,SP,04/24/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1799,Kris Bubic,KCR,SP,04/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1800,Lou Trivino,NYY,RP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1801,Robbie Ray,SFG,SP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1802,Germán Márquez,COL,SP,05/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1803,José Quijada,LAA,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
1804,Austin Warren,SFG,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1805,Luis Garcia,HOU,SP,05/19/23,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
1806,Tyler Mahle,TEX,SP,05/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1807,Penn Murfee,HOU,RP,Jun '23,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,No timetable for return
1808,Jacob deGrom,TEX,SP,06/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1809,Lance McCullers Jr.,HOU,SP,06/13/23,Elbow surgery (flexor tendon/bone spur),60-Day IL,03/28/24,05/27/24,,No timetable for return
1810,Drew Rasmussen,TBR,SP,Jul '23,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Expected to miss at least 12 months
1811,Dustin May,LAD,SP,07/18/23,Tommy John revision surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
1812,Antonio Senzatela,COL,SP,07/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1813,Liam Hendriks,BOS,RP,08/02/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1814,Tucupita Marcano,SDP,INF/OF,08/09/23,Knee surgery (torn ACL),10-Day IL,03/17/24,04/02/24,,No timetable for return
1815,Shane McClanahan,TBR,SP,08/21/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1816,Stone Garrett,WSN,OF,08/23/23,Fractured leg (fibula),10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/13)
1817,Freddy Tarnok,OAK,SP,08/30/23,Hip surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
1818,Sam Bachman,LAA,SP,Sep '23,Arthroscopic shoulder surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
1819,Tony Gonsolin,LAD,SP,09/01/23,Tommy John surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
1820,Josh Winder,MIN,RP,Sep '23,Shoulder discomfort (scapular stress fracture),60-Day IL,03/28/24,05/27/24,,No timetable for return
1821,Tommy Kahnle,NYY,RP,09/20/23,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
1822,Jasson Domínguez,NYY,OF,09/20/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Expected to miss 9-10 months
1823,Drey Jameson,ARI,RP,09/27/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1824,John Means,BAL,SP,Oct '23,Strained forearm,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/31)
1825,Tommy Edman,STL,OF/INF,Oct '23,Arthroscopic wrist surgery,10-Day IL,03/25/24,04/04/24,,No timetable for return
1826,Jonathan Hernández,TEX,RP,10/01/23,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
1827,Angel Perdomo,ATL,RP,10/06/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
1828,Sandy Alcantara,MIA,SP,10/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1829,Félix Bautista,BAL,RP,10/09/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1830,Kyle Wright,KCR,SP,10/11/23,Shoulder surgery (torn capsule),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1831,Brandon Woodruff,MIL,SP,10/13/23,Shoulder surgery (anterior capsule repair),60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
1832,Ken Waldichuk,OAK,SP,10/17/23,Elbow/Flexor tendon surgery (Tenex procedure),60-Day IL,03/28/24,05/27/24,,No timetable for return
1833,Taylor Walls,TBR,INF,10/30/23,Hip surgery (labrum repair),10-Day IL,03/25/24,04/04/24,,No timetable for return
1834,Alex Cobb,SFG,SP,10/31/23,Hip surgery (labrum repair),15-Day IL,03/25/24,04/09/24,,Out at least 6 months
1835,Clayton Kershaw,LAD,SP,11/03/23,Shoulder surgery (glenohumeral ligaments and capsu,60-Day IL,03/20/24,05/19/24,,Out for at least 1st half
1836,David Peterson,NYM,SP,11/06/23,Hip surgery (labrum repair),60-Day IL,03/28/24,05/27/24,,Expected to miss 6-7 months
1837,Scott Effross,NYY,RP,Dec '23,Back surgery,60-Day IL,03/28/24,05/27/24,,Out until at least June
1838,Johan Oviedo,PIT,SP,12/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1839,Endy Rodríguez,PIT,C,12/12/23,Elbow/Flexor tendon surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
1840,Max Scherzer,TEX,SP,12/14/23,Back surgery (herniated disc),15-Day IL,03/25/24,04/09/24,,Out until at least June
