,Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
0,Walker Buehler,LAD,SP,08/23/22,Tommy John surgery,15-Day IL,03/17/24,04/07/24,,Rehab assignment (3/31)
1,Shane Baz,TBR,SP,09/28/22,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
2,Lucas Gilbreath,COL,RP,03/14/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
3,Cade Cavalli,WSN,SP,03/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
4,Matt Foster,CHW,RP,Apr '23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
5,JT Brubaker,NYY,SP,04/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
6,Jeffrey Springs,TBR,SP,04/24/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
7,Kris Bubic,KCR,SP,04/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
8,Lou Trivino,NYY,RP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
9,Robbie Ray,SFG,SP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
10,Germán Márquez,COL,SP,05/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
11,José Quijada,LAA,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
12,Austin Warren,SFG,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
13,Luis Garcia,HOU,SP,05/19/23,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
14,Tyler Mahle,TEX,SP,05/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
15,Jacob deGrom,TEX,SP,06/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
16,Dustin May,LAD,SP,07/18/23,Tommy John revision surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
17,Antonio Senzatela,COL,SP,07/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
18,Liam Hendriks,BOS,RP,08/02/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
19,Shane McClanahan,TBR,SP,08/21/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
20,Tony Gonsolin,LAD,SP,09/01/23,Tommy John surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
21,Jasson Domínguez,NYY,OF,09/20/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Expected to miss 9-10 months
22,Drey Jameson,ARI,RP,09/27/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
23,Angel Perdomo,ATL,RP,10/06/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
24,Sandy Alcantara,MIA,SP,10/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
25,Félix Bautista,BAL,RP,10/09/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
26,Johan Oviedo,PIT,SP,12/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
27,Jesse Scholtens,CHW,SP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
28,Mason Thompson,WSN,RP,03/01/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
29,Jackson Kowar,SEA,RP,03/15/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
30,Dauri Moreta,PIT,SP,03/21/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
31,Trevor Gott,OAK,RP,04/03/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
32,Eury Pérez,MIA,SP,04/08/24,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
33,Chris Murphy,BOS,SP,04/10/24,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
34,Shane Bieber,CLE,SP,04/12/24,Tommy John surgery,60-Day IL,04/03/24,06/02/24,,Out for 2024 season
35,Randal Grichuk,ARI,OF,Jan '24,Ankle procedure (bone spur removal),Activated,03/25/24,04/04/24,04/05/24,Activated
36,Luis F. Ortiz,PHI,RP,03/30/24,Sprained ankle,15-Day IL,03/31/24,04/15/24,,No timetable for return
37,Scott Effross,NYY,RP,Dec '23,Back surgery,60-Day IL,03/28/24,05/27/24,,Out until at least June
38,Max Scherzer,TEX,SP,12/14/23,Back surgery (herniated disc),15-Day IL,03/25/24,04/09/24,,Out until at least June
39,Alex Young,CIN,RP,Feb '24,Back tightness,15-Day IL,03/25/24,04/09/24,,No timetable for return
40,Jose A. Ferrer,WSN,RP,Mar '24,Strained upper back,60-Day IL,03/28/24,05/27/24,,No timetable for return
41,Devin Williams,MIL,RP,03/05/24,Stress fractures in back,60-Day IL,03/25/24,05/24/24,,Likely out until at least mid-July
42,Rafael Marchán,PHI,C,03/07/24,Back discomfort,10-Day IL,03/25/24,04/04/24,,No timetable for return
43,Jameson Taillon,CHC,SP,03/09/24,Strained lower back,Activated,03/25/24,04/09/24,04/18/24,Activated
44,Patrick Wisdom,CHC,INF/OF,03/13/24,Strained back,Activated,03/25/24,04/04/24,04/18/24,Activated
45,Michael Massey,KCR,2B,03/16/24,Lower back tightness,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/5)
46,Luke Jackson,SFG,RP,03/28/24,Strained lower back,15-Day IL,03/29/24,04/13/24,,No timetable for return
47,Jason Heyward,LAD,OF,03/30/24,Lower back tightness,10-Day IL,03/31/24,04/10/24,,No timetable for return
48,Cody Bradford,TEX,SP,04/10/24,Strained lower back,15-Day IL,04/11/24,04/26/24,,No timetable for return
49,Christian Yelich,MIL,OF,04/12/24,Strained lower back,10-Day IL,04/13/24,04/23/24,,No timetable for return
50,Kris Bryant,COL,1B/OF,04/13/24,Strained lower back,10-Day IL,04/14/24,04/24/24,,No timetable for return
51,Aledmys Díaz,OAK,INF/OF,02/26/24,Strained calf,60-Day IL,03/25/24,05/24/24,,No timetable for return
52,Nick Lodolo,CIN,SP,03/16/24,Calf tenosynovitis,Activated,03/25/24,04/09/24,04/13/24,Activated
53,Josh Staumont,MIN,RP,03/25/24,Strained calf,15-Day IL,03/26/24,04/10/24,,Rehab assignment (4/9)
54,John Brebbia,CHW,RP,04/05/24,Strained calf,15-Day IL,04/06/24,04/21/24,,No timetable for return
55,Carson Coleman,TEX,RP,Apr '23,Elbow surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
56,Penn Murfee,HOU,RP,Jun '23,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,No timetable for return
57,Lance McCullers Jr.,HOU,SP,06/13/23,Elbow surgery (flexor tendon/bone spur),60-Day IL,03/28/24,05/27/24,,No timetable for return
58,Drew Rasmussen,TBR,SP,Jul '23,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Expected to miss at least 12 months
59,Ken Waldichuk,OAK,SP,10/17/23,Elbow/Flexor tendon surgery (Tenex procedure),60-Day IL,03/28/24,05/27/24,,No timetable for return
60,Endy Rodríguez,PIT,C,12/12/23,Elbow/Flexor tendon surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
61,Kyle Bradish,BAL,SP,Jan '24,Sprained elbow,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/16)
62,Matt Brash,SEA,RP,02/20/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
63,Josh Simpson,MIA,RP,02/27/24,Elbow ulnar neuritis,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/6)
64,Sean Hjelle,SFG,SP,02/28/24,Strained elbow,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/5)
65,Trevor Stephan,CLE,RP,Mar '24,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
66,Gerrit Cole,NYY,SP,03/01/24,Elbow inflammation,60-Day IL,03/28/24,05/27/24,,Expected to miss at least 10-12 weeks
67,Gavin Williams,CLE,SP,03/10/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
68,Jordan Romano,TOR,RP,03/10/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
69,Lucas Giolito,BOS,SP,03/12/24,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
70,Carmen Mlodzinski,PIT,RP,03/13/24,Elbow inflammation,Activated,03/25/24,04/09/24,04/10/24,Activated
71,Luis Patiño,SDP,RP,03/13/24,Elbow inflammation,15-Day IL,03/17/24,04/07/24,,No timetable for return
72,Oliver Ortega,HOU,RP,03/21/24,Elbow surgery (loose body removal),60-Day IL,03/25/24,05/24/24,,Expected to miss 3-4 months
73,Bryan Woo,SEA,SP,03/23/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
74,Anthony DeSclafani,MIN,SP,03/29/24,Elbow/Flexor tendon surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
75,Framber Valdez,HOU,SP,04/02/24,Elbow inflammation,15-Day IL,04/06/24,04/21/24,,No timetable for return
76,Nick Pivetta,BOS,SP,04/03/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
77,Jonathan Loáisiga,NYY,RP,04/03/24,Torn elbow ligament (UCL),60-Day IL,04/04/24,06/03/24,,Out for 2024 season
78,Josiah Gray,WSN,SP,04/04/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
79,Chase Silseth,LAA,SP,04/07/24,Elbow inflammation,15-Day IL,04/08/24,04/23/24,,No timetable for return
80,Spencer Strider,ATL,SP,04/12/24,Elbow surgery (internal brace),15-Day IL,04/06/24,04/21/24,,Out for 2024 season
81,Tyler Wells,BAL,SP,04/12/24,Elbow inflammation,15-Day IL,04/13/24,04/28/24,,No timetable for return
82,Tejay Antone,CIN,RP,04/12/24,Elbow surgery (UCL/flexor tendon repair),15-Day IL,04/08/24,04/23/24,,Out for 2024 season
83,Robert Stephenson,LAA,RP,04/13/24,Elbow discomfort,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
84,Lance McCullers Jr.,HOU,SP,06/13/23,Elbow surgery (flexor tendon/bone spur),60-Day IL,03/28/24,05/27/24,,No timetable for return
85,John Means,BAL,SP,Oct '23,Strained forearm,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/31)
86,Ken Waldichuk,OAK,SP,10/17/23,Elbow/Flexor tendon surgery (Tenex procedure),60-Day IL,03/28/24,05/27/24,,No timetable for return
87,Endy Rodríguez,PIT,C,12/12/23,Elbow/Flexor tendon surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
88,Ian Gibaut,CIN,RP,Feb '24,Strained forearm,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/5)
89,Shawn Dubin,HOU,SP,Feb '24,Strained forearm,Activated,03/25/24,04/09/24,04/13/24,Activated
90,Emmet Sheehan,LAD,SP,Feb '24,Forearm inflammation/shoulder soreness,60-Day IL,03/17/24,05/22/24,,No timetable for return
91,Orion Kerkering,PHI,RP,03/01/24,Strained forearm,Activated,03/25/24,04/09/24,04/14/24,Activated
92,Keynan Middleton,STL,RP,03/07/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
93,Erik Swanson,TOR,RP,03/13/24,Forearm inflammation,Activated,03/25/24,04/09/24,04/16/24,Activated
94,José Urquidy,HOU,SP,03/15/24,Strained forearm,15-Day IL,03/25/24,04/09/24,,No timetable for return
95,Riley O'Brien,STL,RP,03/28/24,Strained forearm flexor,15-Day IL,03/29/24,04/13/24,,No timetable for return
96,Anthony DeSclafani,MIN,SP,03/29/24,Elbow/Flexor tendon surgery,60-Day IL,03/25/24,05/24/24,,Out for 2024 season
97,Daniel Bard,COL,RP,Apr '24,Flexor tendon surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
98,Nick Pivetta,BOS,SP,04/03/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
99,Josiah Gray,WSN,SP,04/04/24,Strained elbow flexor,15-Day IL,04/06/24,04/21/24,,No timetable for return
100,Luis Robert Jr.,CHW,OF,04/05/24,Strained hip flexor,10-Day IL,04/06/24,04/16/24,,Expected to miss at least 6-8 weeks
101,Tejay Antone,CIN,RP,04/12/24,Elbow surgery (UCL/flexor tendon repair),15-Day IL,04/08/24,04/23/24,,Out for 2024 season
102,Marco Gonzales,PIT,SP,04/13/24,Strained forearm,15-Day IL,04/14/24,04/29/24,,No timetable for return
103,Xavier Edwards,MIA,INF/OF,03/05/24,Foot infection,10-Day IL,03/25/24,04/04/24,,No timetable for return
104,DJ LeMahieu,NYY,INF,03/16/24,Fractured foot (non-displaced),10-Day IL,03/25/24,04/04/24,,No timetable for return
105,Sawyer Gipson-Long,DET,SP,Feb '24,Strained groin,15-Day IL,03/25/24,04/09/24,,No timetable for return
106,Eloy Jiménez,CHW,OF,03/31/24,Strained groin,Activated,04/02/24,04/12/24,04/15/24,Activated
107,Yoán Moncada,CHW,3B,04/09/24,Strained groin,60-Day IL,04/10/24,06/09/24,,Likely out until at least mid-July
108,Jon Berti,NYY,INF/OF,04/10/24,Strained groin,10-Day IL,04/11/24,04/21/24,,No timetable for return
109,J.D. Davis,OAK,3B/1B,04/14/24,Strained groin,10-Day IL,04/15/24,04/25/24,,No timetable for return
110,Caleb Thielbar,MIN,RP,Feb '24,Strained hamstring,Activated,03/25/24,04/09/24,04/14/24,Activated
111,Bryan Mata,BOS,RP,02/24/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,No timetable for return
112,Max Kranick,NYM,SP,02/26/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
113,Vaughn Grissom,BOS,INF,03/01/24,Strained hamstring,10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/12)
114,Sonny Gray,STL,SP,03/04/24,Strained hamstring,Activated,03/25/24,04/09/24,04/09/24,Activated
115,Jake Brentz,KCR,RP,03/09/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Out at least 6 weeks
116,Justin Steele,CHC,SP,03/28/24,Strained hamstring,15-Day IL,03/29/24,04/13/24,,Out at least 1 month
117,Alek Thomas,ARI,OF,03/31/24,Strained hamstring,10-Day IL,04/01/24,04/11/24,,No timetable for return
118,Victor Robles,WSN,OF,04/03/24,Strained hamstring,10-Day IL,04/04/24,04/14/24,,No timetable for return
119,Andy Ibáñez,DET,INF/OF,04/07/24,Strained hamstring,10-Day IL,04/08/24,04/18/24,,No timetable for return
120,Ben Lively,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/17/24,Activated
121,Xzavion Curry,CLE,SP,Mar '24,Viral illness,Activated,03/25/24,04/09/24,04/15/24,Activated
122,Colin Holderman,PIT,RP,Mar '24,Illness,Activated,03/25/24,04/09/24,04/11/24,Activated
123,Tucupita Marcano,SDP,INF/OF,08/09/23,Knee surgery (torn ACL),10-Day IL,03/17/24,04/02/24,,No timetable for return
124,Sean Newcomb,OAK,SP,12/20/23,Arthroscopic knee surgery,60-Day IL,03/25/24,05/24/24,,No timetable for return
125,Ronny Mauricio,NYM,INF,01/02/24,Knee surgery (torn ACL),60-Day IL,03/28/24,05/27/24,,Out 8-12 months
126,McKinley Moore,NYY,RP,Feb '24,Knee bursitis,Activated,03/25/24,04/09/24,04/13/24,Activated
127,Luis Medina,OAK,SP,03/04/24,Sprained knee,60-Day IL,03/25/24,05/24/24,,No timetable for return
128,Justin Topa,MIN,RP,03/15/24,Patellar tendinitis (left knee),15-Day IL,03/25/24,04/09/24,,No timetable for return
129,Miguel Andujar,OAK,OF/INF,03/27/24,Knee surgery (lateral meniscectomy),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
130,Taylor Clarke,MIL,RP,03/30/24,Knee surgery (torn meniscus),15-Day IL,03/25/24,04/09/24,,Likely out until late May
131,Jason Delay,PIT,C,03/31/24,Knee inflammation,10-Day IL,04/01/24,04/11/24,,No timetable for return
132,Geraldo Perdomo,ARI,SS,04/03/24,Torn knee meniscus,10-Day IL,04/04/24,04/14/24,,Expected to miss at least 1 month
133,Max Kepler,MIN,OF,04/06/24,Knee contusion,10-Day IL,04/07/24,04/22/24,,Rehab assignment (4/18)
134,Collin Snider,SEA,RP,04/07/24,Knee contusion,15-Day IL,04/08/24,04/23/24,,No timetable for return
135,Jonathan Hernández,TEX,RP,10/01/23,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
136,Gregory Santos,SEA,RP,03/11/24,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
137,Eduardo Rodriguez,ARI,SP,03/19/24,Strained lat,60-Day IL,03/25/24,05/24/24,,No timetable for return
138,Miguel Andujar,OAK,OF/INF,03/27/24,Knee surgery (lateral meniscectomy),10-Day IL,03/25/24,04/04/24,,Expected to miss 4-6 weeks
139,Walker Buehler,LAD,SP,08/23/22,Tommy John surgery,15-Day IL,03/17/24,04/07/24,,Rehab assignment (3/31)
140,Shane Baz,TBR,SP,09/28/22,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
141,Lucas Gilbreath,COL,RP,03/14/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
142,Cade Cavalli,WSN,SP,03/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
143,Matt Foster,CHW,RP,Apr '23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
144,Carson Coleman,TEX,RP,Apr '23,Elbow surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
145,JT Brubaker,NYY,SP,04/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
146,Jeffrey Springs,TBR,SP,04/24/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
147,Kris Bubic,KCR,SP,04/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
148,Lou Trivino,NYY,RP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
149,Robbie Ray,SFG,SP,05/03/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
150,Germán Márquez,COL,SP,05/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
151,José Quijada,LAA,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
152,Austin Warren,SFG,RP,05/17/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
153,Luis Garcia,HOU,SP,05/19/23,Tommy John surgery,60-Day IL,03/25/24,05/24/24,,Questionable for 2024 season
154,Tyler Mahle,TEX,SP,05/22/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
155,Penn Murfee,HOU,RP,Jun '23,Elbow surgery (UCL),60-Day IL,03/25/24,05/24/24,,No timetable for return
156,Jacob deGrom,TEX,SP,06/12/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
157,Lance McCullers Jr.,HOU,SP,06/13/23,Elbow surgery (flexor tendon/bone spur),60-Day IL,03/28/24,05/27/24,,No timetable for return
158,Drew Rasmussen,TBR,SP,Jul '23,Elbow surgery (internal brace),60-Day IL,03/28/24,05/27/24,,Expected to miss at least 12 months
159,Dustin May,LAD,SP,07/18/23,Tommy John revision surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
160,Antonio Senzatela,COL,SP,07/26/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
161,Liam Hendriks,BOS,RP,08/02/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
162,Tucupita Marcano,SDP,INF/OF,08/09/23,Knee surgery (torn ACL),10-Day IL,03/17/24,04/02/24,,No timetable for return
163,Shane McClanahan,TBR,SP,08/21/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
164,Stone Garrett,WSN,OF,08/23/23,Fractured leg (fibula),10-Day IL,03/25/24,04/04/24,,Rehab assignment (4/13)
165,Freddy Tarnok,OAK,SP,08/30/23,Hip surgery,15-Day IL,03/25/24,04/09/24,,No timetable for return
166,Sam Bachman,LAA,SP,Sep '23,Arthroscopic shoulder surgery,60-Day IL,03/28/24,05/27/24,,No timetable for return
167,Tony Gonsolin,LAD,SP,09/01/23,Tommy John surgery,60-Day IL,03/20/24,05/19/24,,Questionable for 2024 season
168,Josh Winder,MIN,RP,Sep '23,Shoulder discomfort (scapular stress fracture),60-Day IL,03/28/24,05/27/24,,No timetable for return
169,Tommy Kahnle,NYY,RP,09/20/23,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
170,Jasson Domínguez,NYY,OF,09/20/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Expected to miss 9-10 months
171,Drey Jameson,ARI,RP,09/27/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
172,John Means,BAL,SP,Oct '23,Strained forearm,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/31)
173,Tommy Edman,STL,OF/INF,Oct '23,Arthroscopic wrist surgery,10-Day IL,03/25/24,04/04/24,,No timetable for return
174,Jonathan Hernández,TEX,RP,10/01/23,Strained lat,15-Day IL,03/25/24,04/09/24,,No timetable for return
175,Angel Perdomo,ATL,RP,10/06/23,Tommy John surgery,15-Day IL,03/25/24,04/09/24,,Out for 2024 season
176,Sandy Alcantara,MIA,SP,10/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
177,Félix Bautista,BAL,RP,10/09/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
178,Kyle Wright,KCR,SP,10/11/23,Shoulder surgery (torn capsule),60-Day IL,03/28/24,05/27/24,,Out for 2024 season
179,Brandon Woodruff,MIL,SP,10/13/23,Shoulder surgery (anterior capsule repair),60-Day IL,03/28/24,05/27/24,,Questionable for 2024 season
180,Ken Waldichuk,OAK,SP,10/17/23,Elbow/Flexor tendon surgery (Tenex procedure),60-Day IL,03/28/24,05/27/24,,No timetable for return
181,Taylor Walls,TBR,INF,10/30/23,Hip surgery (labrum repair),10-Day IL,03/25/24,04/04/24,,No timetable for return
182,Alex Cobb,SFG,SP,10/31/23,Hip surgery (labrum repair),15-Day IL,03/25/24,04/09/24,,Out at least 6 months
183,Clayton Kershaw,LAD,SP,11/03/23,Shoulder surgery (glenohumeral ligaments and capsu,60-Day IL,03/20/24,05/19/24,,Out for at least 1st half
184,David Peterson,NYM,SP,11/06/23,Hip surgery (labrum repair),60-Day IL,03/28/24,05/27/24,,Expected to miss 6-7 months
185,Scott Effross,NYY,RP,Dec '23,Back surgery,60-Day IL,03/28/24,05/27/24,,Out until at least June
186,Johan Oviedo,PIT,SP,12/06/23,Tommy John surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
187,Endy Rodríguez,PIT,C,12/12/23,Elbow/Flexor tendon surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
188,Max Scherzer,TEX,SP,12/14/23,Back surgery (herniated disc),15-Day IL,03/25/24,04/09/24,,Out until at least June
189,Sean Newcomb,OAK,SP,12/20/23,Arthroscopic knee surgery,60-Day IL,03/25/24,05/24/24,,No timetable for return
190,Randal Grichuk,ARI,OF,Jan '24,Ankle procedure (bone spur removal),Activated,03/25/24,04/04/24,04/05/24,Activated
191,Kyle Bradish,BAL,SP,Jan '24,Sprained elbow,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/16)
192,Kendall Graveman,HOU,RP,Jan '24,Shoulder surgery,60-Day IL,03/28/24,05/27/24,,Out for 2024 season
193,Ronny Mauricio,NYM,INF,01/02/24,Knee surgery (torn ACL),60-Day IL,03/28/24,05/27/24,,Out 8-12 months
194,Sam Moll,CIN,RP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (3/29)
195,Alex Young,CIN,RP,Feb '24,Back tightness,15-Day IL,03/25/24,04/09/24,,No timetable for return
196,Ian Gibaut,CIN,RP,Feb '24,Strained forearm,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/5)
197,James Karinchak,CLE,RP,Feb '24,Shoulder inflammation,60-Day IL,03/25/24,05/24/24,,No timetable for return
198,Sawyer Gipson-Long,DET,SP,Feb '24,Strained groin,15-Day IL,03/25/24,04/09/24,,No timetable for return
199,Justin Verlander,HOU,SP,Feb '24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
200,Shawn Dubin,HOU,SP,Feb '24,Strained forearm,Activated,03/25/24,04/09/24,04/13/24,Activated
201,Carlos Hernández,KCR,RP,Feb '24,Shoulder soreness,15-Day IL,03/25/24,04/09/24,,No timetable for return
202,Emmet Sheehan,LAD,SP,Feb '24,Forearm inflammation/shoulder soreness,60-Day IL,03/17/24,05/22/24,,No timetable for return
203,JT Chargois,MIA,RP,Feb '24,Neck spasms,15-Day IL,03/25/24,04/09/24,,No timetable for return
204,Braxton Garrett,MIA,SP,Feb '24,Shoulder impingement,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
205,Wade Miley,MIL,SP,Feb '24,Shoulder impingement,Activated,03/25/24,04/09/24,04/10/24,Activated
206,Caleb Thielbar,MIN,RP,Feb '24,Strained hamstring,Activated,03/25/24,04/09/24,04/14/24,Activated
207,Zack Weiss,MIN,RP,Feb '24,Strained shoulder (teres major),60-Day IL,03/25/24,05/24/24,,No timetable for return
208,McKinley Moore,NYY,RP,Feb '24,Knee bursitis,Activated,03/25/24,04/09/24,04/13/24,Activated
209,Glenn Otto,SDP,SP,Feb '24,Strained shoulder (teres major),15-Day IL,03/17/24,04/07/24,,No timetable for return
210,Eduard Bazardo,SEA,RP,Feb '24,Strained shoulder (rotator cuff),15-Day IL,03/25/24,04/09/24,,No timetable for return
211,Matt Brash,SEA,RP,02/20/24,Elbow inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
212,Kodai Senga,NYM,SP,02/21/24,Strained shoulder (posterior capsule),60-Day IL,03/25/24,05/24/24,,No timetable for return
213,Shane Drohan,CHW,SP,02/22/24,Shoulder surgery (nerve decompression),60-Day IL,03/25/24,05/24/24,,No timetable for return
214,Bryan Mata,BOS,RP,02/24/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,No timetable for return
215,Michael Stefanic,LAA,INF,02/24/24,Strained quad,10-Day IL,03/25/24,04/04/24,,No timetable for return
216,Jimmy Lambert,CHW,RP,02/25/24,Strained shoulder (rotator cuff),60-Day IL,03/28/24,05/27/24,,No timetable for return
217,Max Kranick,NYM,SP,02/26/24,Strained hamstring,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/7)
218,Aledmys Díaz,OAK,INF/OF,02/26/24,Strained calf,60-Day IL,03/25/24,05/24/24,,No timetable for return
219,Josh Simpson,MIA,RP,02/27/24,Elbow ulnar neuritis,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/6)
220,Alek Manoah,TOR,SP,02/27/24,Shoulder inflammation,15-Day IL,03/25/24,04/09/24,,No timetable for return
221,Sean Hjelle,SFG,SP,02/28/24,Strained elbow,15-Day IL,03/25/24,04/09/24,,Rehab assignment (4/5)
